ID,Card,Rarity,Pack,Aidan,Action,,Megan,Action,,AJ,Action,,Roan,Action,,Abby,Action
3,Celebi ex,4d,MI,1,0,,1,0,,0,0,,0,0,,0,0
4,Snivy,1d,MI,3,1,,6,4,,0,0,,0,0,,0,0
5,Servine,2d,MI,3,1,,2,1,,0,0,,0,0,,0,0
6,Serperior,3d,MI,2,0,,2,1,,0,0,,0,0,,0,0
7,Morelull,1d,MI,4,2,,4,2,,0,0,,0,0,,0,0
8,Shiinotix,2d,MI,2,0,,2,1,,0,0,,0,0,,0,0
9,Dhelmise,2d,MI,2,0,,5,3,,0,0,,0,0,,0,0
10,Ponyta,1d,MI,2,0,,9,7,,0,0,,0,0,,0,0
11,Rapidash,2d,MI,3,1,,10,8,,0,0,,0,0,,0,0
12,Magmar,2d,MI,4,2,,4,2,,0,0,,0,0,,0,0
13,Larvesta,1d,MI,5,3,,7,5,,0,0,,0,0,,1,0
14,Volcarona,3d,MI,2,0,,1,0,,0,0,,0,0,,0,0
15,Salandit,1d,MI,2,0,,8,6,,0,0,,0,0,,0,0
16,Salazzle,1d,MI,2,0,,6,4,,0,0,,0,0,,0,0
17,Magikarp,1d,MI,2,0,,9,7,,0,0,,0,0,,0,0
18,Gyarados ex,4d,MI,2,0,,3,1,,0,0,,0,0,,0,0
19,Vaporeon,3d,MI,3,1,,3,1,,0,0,,0,0,,0,0
20,Finneon,1d,MI,4,2,,1,0,,0,0,,0,0,,0,0
21,Lumineon,2d,MI,4,2,,5,3,,0,0,,0,0,,0,0
22,Chewtle,1d,MI,2,0,,2,1,,0,0,,0,0,,0,0
23,Drednaw,2d,MI,2,0,,1,0,,0,0,,0,0,,0,0
24,Cramorant,1d,MI,5,3,,6,4,,0,0,,0,0,,2,0
25,Pikachu,1d,MI,4,2,,6,4,,0,0,,0,0,,0,0
26,Raichu,3d,MI,2,0,,5,3,,0,0,,0,0,,0,0
27,Elextabuzz,2d,MI,4,2,,5,3,,0,0,,0,0,,0,0
28,Joltik,1d,MI,4,2,,13,11,,0,0,,0,0,,0,0
29,Galvantuala,2d,MI,2,0,,5,3,,0,0,,0,0,,0,0
30,Dedene,1d,MI,2,0,,7,5,,0,0,,0,0,,0,0
31,Mew,3d,MI,0,0,,4,2,,0,0,,0,0,,0,0
32,Mew ex,4d,MI,3,1,,2,1,,0,0,,0,0,,0,0
33,Sigilyph,2d,MI,3,1,,4,2,,0,0,,0,0,,0,0
34,Elgyem,1d,MI,3,1,,5,3,,0,0,,0,0,,0,0
35,Beheeyem,2d,MI,1,0,,0,0,,0,0,,0,0,,0,0
36,Flabebe,1d,MI,6,4,,13,11,,0,0,,0,0,,0,0
37,Floette,1d,MI,1,0,,8,6,,0,0,,0,0,,0,0
38,Florges,2d,MI,2,0,,6,4,,0,0,,0,0,,0,0
39,Swirlix,1d,MI,4,2,,5,3,,0,0,,0,0,,1,0
40,Slurpuff,1d,MI,6,4,,2,1,,0,0,,0,0,,0,0
41,Mankey,1d,MI,1,0,,14,12,,0,0,,0,0,,0,0
42,Primeape,1d,MI,4,2,,9,7,,0,0,,0,0,,0,0
43,Geodude,1d,MI,1,0,,6,4,,0,0,,0,0,,0,0
44,Graveler,2d,MI,3,1,,4,2,,0,0,,0,0,,0,0
45,Golem,3d,MI,2,0,,3,1,,0,0,,0,0,,0,0
46,Aerodactyl ex,4d,MI,0,0,,1,0,,0,0,,0,0,,0,0
47,Marshadow,3d,MI,1,0,,7,5,,0,0,,0,0,,0,0
48,Stonjourner,2d,MI,5,3,,5,3,,0,0,,0,0,,0,0
49,Koffing,1d,MI,3,1,,8,6,,0,0,,0,0,,0,0
50,Weezing,2d,MI,4,2,,4,2,,0,0,,0,0,,0,0
51,Purrloin,1d,MI,3,1,,6,4,,0,0,,0,0,,0,0
52,Liepard,1d,MI,2,0,,8,6,,0,0,,0,0,,0,0
53,Venipede,1d,MI,3,1,,8,6,,0,0,,0,0,,0,0
54,Whirlpede,1d,MI,2,0,,5,3,,0,0,,0,0,,0,0
55,Scolipede,2d,MI,2,0,,7,5,,0,0,,0,0,,0,0
56,Duddigon,2d,MI,4,2,,5,3,,0,0,,0,0,,0,0
57,Pidgey,1d,MI,2,0,,9,7,,0,0,,0,0,,0,0
58,Pidgeotto,1d,MI,4,2,,10,8,,0,0,,0,0,,0,0
59,Pidgeot ex,4d,MI,0,0,,2,1,,0,0,,0,0,,0,0
60,Tauros,3d,MI,1,0,,0,0,,0,0,,0,0,,0,0
61,Eevee,1d,MI,3,1,,7,5,,0,0,,0,0,,0,0
62,Chatot,1d,MI,3,1,,5,3,,0,0,,0,0,,0,0
63,Old Amber,1d,MI,4,2,,10,8,,0,0,,0,0,,0,0
64,Pokemon Flute,2d,MI,2,0,,3,1,,0,0,,0,0,,0,0
65,Mythical Slab,2d,MI,1,0,,8,6,,0,0,,0,0,,0,0
66,Budding Expeditioner,2d,MI,1,0,,3,1,,0,0,,0,0,,0,0
67,Blue,2d,MI,1,0,,4,2,,0,0,,0,0,,0,0
68,Leaf,2d,MI,3,1,,9,7,,0,0,,0,0,,0,0
69,Exeggutor,1s,MI,1,0,,0,0,,0,0,,0,0,,0,0
70,Serperior,1s,MI,2,0,,1,0,,0,0,,0,0,,0,0
71,Salandit,1s,MI,2,0,,1,0,,0,0,,0,0,,0,0
72,Vaporeon,1s,MI,1,0,,0,0,,0,0,,0,0,,0,0
73,Dedene,1s,MI,0,0,,5,4,,0,0,,0,0,,0,0
74,Marshadow,1s,MI,0,0,,1,0,,0,0,,0,0,,0,0
75,Celebi ex,2s,MI,0,0,,0,0,,0,0,,0,0,,0,0
76,Gyarados ex,2s,MI,0,0,,0,0,,0,0,,0,0,,0,0
77,Mew ex,2s,MI,0,0,,1,0,,0,0,,0,0,,0,0
78,Aerodactyl ex,2s,MI,0,0,,0,0,,0,0,,0,0,,0,0
79,Pidgeot ex,2s,MI,0,0,,0,0,,0,0,,0,0,,0,0
80,Budding Expeditioner,2s,MI,0,0,,0,0,,0,0,,0,0,,0,0
81,Blue,2s,MI,0,0,,1,0,,0,0,,0,0,,0,0
82,Leaf,2s,MI,0,0,,0,0,,0,0,,0,0,,0,0
83,Mew ex,2s,MI,1,0,,0,0,,0,0,,0,0,,0,0
84,Aerodactyl ex,2s,MI,0,0,,1,0,,0,0,,0,0,,0,0
85,Celebi ex,3s,MI,0,0,,2,1,,0,0,,0,0,,0,0
86,Mew ex,1c,MI,0,0,,0,0,,0,0,,0,0,,0,0
,,,,,,,,,,,,,,,,,
1,Oddish,1d,ST,3,1,,4,2,,0,0,,0,0,,0,0
2,Gloom,1d,ST,2,0,,6,4,,0,0,,0,0,,0,0
3,Bellossom,2d,ST,1,0,,2,1,,0,0,,0,0,,0,0
4,Tangella,1d,ST,4,2,,4,2,,0,0,,0,0,,0,0
5,Tangrowth,2d,ST,3,1,,3,1,,0,0,,0,0,,0,0
6,Yanma,1d,ST,1,0,,3,1,,0,0,,0,0,,0,0
7,Yanmega ex,4d,ST,0,0,,1,0,,0,0,,0,0,,0,0
8,Roselia,1d,ST,5,3,,6,4,,0,0,,0,0,,0,0
9,Roserade,2d,ST,4,2,,3,1,,0,0,,0,0,,0,0
10,Turtwig,1d,ST,2,0,,3,1,,0,0,,0,0,,0,0
11,Grotle,2d,ST,1,0,,4,2,,0,0,,0,0,,0,0
12,Torterra,3d,ST,0,0,,1,0,,0,0,,0,0,,0,0
13,Kricketot,1d,ST,1,0,,2,1,,0,0,,0,0,,0,0
14,Kricketune,1d,ST,2,0,,3,1,,0,0,,0,0,,0,0
15,Burmy,1d,ST,3,1,,4,2,,0,0,,0,0,,0,0
16,Wormadam,1d,ST,5,3,,8,6,,0,0,,0,0,,0,0
17,Combee,1d,ST,4,2,,1,0,,0,0,,0,0,,0,0
18,Vespiquen,2d,ST,2,0,,2,1,,0,0,,0,0,,0,0
19,Carnivine,2d,ST,3,1,,1,0,,0,0,,0,0,,0,0
20,Leafeon,3d,ST,2,0,,0,0,,0,0,,0,0,,0,0
21,Mow Rotom,1d,ST,8,6,,6,4,,0,0,,0,0,,0,0
22,Shaymin,3d,ST,2,0,,1,0,,0,0,,0,0,,0,0
23,Magmar,1d,ST,1,0,,6,0,,0,0,,0,0,,0,0
24,Magmortar,3d,ST,3,1,,1,0,,0,0,,0,0,,0,0
25,Slugma,1d,ST,2,0,,11,9,,0,0,,0,0,,0,0
26,Magcargo,2d,ST,4,2,,6,4,,0,0,,0,0,,0,0
27,Chimchar,1d,ST,2,0,,2,1,,0,0,,0,0,,0,0
28,Monferno,2d,ST,1,0,,0,0,,0,0,,0,0,,0,0
29,Infernape ex,4d,ST,0,0,,2,1,,0,0,,0,0,,0,0
30,Heat Rotom,1d,ST,3,1,,5,3,,0,0,,0,0,,0,0
31,Swinub,1d,ST,4,2,,2,1,,0,0,,0,0,,0,0
32,Piloswine,2d,ST,2,0,,0,0,,0,0,,0,0,,0,0
33,Mamoswine,3d,ST,0,0,,1,0,,0,0,,0,0,,0,0
34,Regice,2d,ST,1,0,,5,3,,0,0,,0,0,,0,0
35,Piplup,1d,ST,1,0,,6,4,,0,0,,0,0,,0,0
36,Prinplup,2d,ST,1,0,,3,1,,0,0,,0,0,,0,0
37,Empoleon,3d,ST,1,0,,0,0,,0,0,,0,0,,0,0
38,Buizel,1d,ST,9,7,,6,4,,0,0,,0,0,,0,0
39,Floatzel,2d,ST,4,2,,5,3,,0,0,,0,0,,0,0
40,Shellos,1d,ST,3,1,,2,0,,0,0,,0,0,,0,0
41,Gastrodon,2d,ST,1,0,,3,0,,0,0,,0,0,,0,0
42,Finneon,1d,ST,6,4,,3,1,,0,0,,0,0,,0,0
43,Lumineon,2d,ST,2,0,,4,2,,0,0,,0,0,,0,0
44,Snover,1d,ST,6,4,,4,2,,0,0,,0,0,,0,0
45,Abomasnow,2d,ST,3,1,,0,0,,0,0,,0,0,,0,0
46,Glaceon,3d,ST,0,0,,1,0,,0,0,,0,0,,0,0
47,Wash Rotom,1d,ST,5,3,,6,4,,0,0,,0,0,,0,0
48,Frost Rotom,1d,ST,4,2,,1,0,,0,0,,0,0,,0,0
49,Palkia ex,4d,ST,1,0,,0,0,,0,0,,0,0,,0,0
50,Manaphy,2d,ST,3,1,,3,1,,0,0,,0,0,,0,0
51,Magnemite,1d,ST,1,0,,8,6,,0,0,,0,0,,0,0
52,Magneton,2d,ST,0,0,,2,1,,0,0,,0,0,,0,0
53,Magnezone,3d,ST,0,0,,1,0,,0,0,,0,0,,0,0
54,Voltorb,1d,ST,7,5,,9,7,,0,0,,0,0,,0,0
55,Electrode,2d,ST,1,0,,7,5,,0,0,,0,0,,0,0
56,Electabuzz,1d,ST,1,0,,3,1,,0,0,,0,0,,0,0
57,Electivire,3d,ST,0,0,,1,0,,0,0,,0,0,,0,0
58,Shinx,1d,ST,1,0,,1,0,,0,0,,0,0,,0,0
59,Luxio,2d,ST,2,0,,1,0,,0,0,,0,0,,0,0
60,Luxray,3d,ST,2,0,,0,0,,0,0,,0,0,,0,0
61,Pachirisu ex,4d,ST,0,0,,0,0,,0,0,,0,0,,0,0
62,Rotom,1d,ST,3,1,,3,0,,0,0,,0,0,,0,0
63,Togepi,1d,ST,3,1,,9,7,,0,0,,0,0,,0,0
64,Togetic,2d,ST,2,0,,3,1,,0,0,,0,0,,0,0
65,Togekiss,3d,ST,0,0,,0,0,,0,0,,0,0,,0,0
66,Misdreavus,1d,ST,1,0,,4,2,,0,0,,0,0,,0,0
67,Mismagius ex,4d,ST,0,0,,0,0,,0,0,,0,0,,0,0
68,Ralts,1d,ST,6,4,,1,0,,0,0,,0,0,,0,0
69,Kirlia,1d,ST,2,0,,6,4,,0,0,,0,0,,0,0
70,Duskull,1d,ST,2,0,,4,2,,0,0,,0,0,,0,0
71,Dusclops,2d,ST,3,1,,1,0,,0,0,,0,0,,0,0
72,Dusknoir,3d,ST,0,0,,2,1,,0,0,,0,0,,0,0
73,Drifloon,1d,ST,3,1,,4,2,,0,0,,0,0,,0,0
74,Drifblim,2d,ST,1,0,,0,0,,0,0,,0,0,,0,0
75,Uxie,2d,ST,4,2,,4,2,,0,0,,0,0,,0,0
76,Mesprit,3d,ST,0,0,,1,0,,0,0,,0,0,,0,0
77,Azelf,2d,ST,1,0,,6,4,,0,0,,0,0,,0,0
78,Giratina,3d,ST,2,0,,1,0,,0,0,,0,0,,0,0
79,Cresselia,3d,ST,0,0,,1,0,,0,0,,0,0,,0,0
80,Rhyhorn,1d,ST,2,0,,5,3,,0,0,,0,0,,0,0
81,Rhydon,2d,ST,1,0,,0,0,,0,0,,0,0,,0,0
82,Rhyperior,3d,ST,1,0,,1,0,,0,0,,0,0,,0,0
83,Gligar,1d,ST,6,4,,1,0,,0,0,,0,0,,0,0
84,Gliscor,2d,ST,3,1,,2,1,,0,0,,0,0,,0,0
85,Hitmonstop,1d,ST,3,1,,2,1,,0,0,,0,0,,0,0
86,Nosepass,1d,ST,4,2,,3,1,,0,0,,0,0,,0,0
87,Regirock,2d,ST,2,0,,4,2,,0,0,,0,0,,0,0
88,Cranidos,2d,ST,1,0,,1,0,,0,0,,0,0,,0,0
89,Rampardos,3d,ST,2,0,,1,0,,0,0,,0,0,,0,0
90,Wormadam,1d,ST,1,0,,1,0,,0,0,,0,0,,0,0
91,Riolu,1d,ST,1,0,,4,2,,0,0,,0,0,,0,0
92,Lucario,3d,ST,2,0,,1,0,,0,0,,0,0,,0,0
93,Hippopotas,1d,ST,0,0,,2,1,,0,0,,0,0,,0,0
94,Hippowdon,2d,ST,1,0,,2,1,,0,0,,0,0,,0,0
95,Gallade ex,4d,ST,0,0,,2,1,,0,0,,0,0,,0,0
96,Murkrow,1d,ST,8,6,,2,1,,0,0,,0,0,,0,0
97,Honchkrow,2d,ST,1,0,,1,0,,0,0,,0,0,,0,0
98,Sneasel,1d,ST,2,0,,3,1,,0,0,,0,0,,0,0
99,Weavile ex,4d,ST,1,0,,2,1,,0,0,,0,0,,0,0
100,Poochyena,1d,ST,5,3,,10,8,,0,0,,0,0,,0,0
101,Mightyena,2d,ST,4,2,,1,0,,0,0,,0,0,,0,0
102,Stunky,1d,ST,2,0,,2,1,,0,0,,0,0,,0,0
103,Skunktank,2d,ST,2,0,,1,0,,0,0,,0,0,,0,0
104,Spiritomb,2d,ST,0,0,,3,1,,0,0,,0,0,,0,0
105,Skorupi,1d,ST,4,2,,5,3,,0,0,,0,0,,0,0
106,Drapion,2d,ST,1,0,,5,3,,0,0,,0,0,,0,0
107,Croagunk,1d,ST,2,0,,0,0,,0,0,,0,0,,0,0
108,Toxicroak,2d,ST,1,0,,2,1,,0,0,,0,0,,0,0
109,Darkrai,3d,ST,0,0,,2,1,,0,0,,0,0,,0,0
110,Darkrai ex,4d,ST,1,0,,1,0,,0,0,,0,0,,0,0
111,Skarmory,2d,ST,2,0,,3,1,,0,0,,0,0,,0,0
112,Registeel,2d,ST,2,0,,3,1,,0,0,,0,0,,0,0
113,Shieldon,2d,ST,4,2,,2,1,,0,0,,0,0,,0,0
114,Bastiodon,3d,ST,1,0,,0,0,,0,0,,0,0,,0,0
115,Wormadam,1d,ST,2,0,,3,1,,0,0,,0,0,,0,0
116,Bronzor,1d,ST,4,2,,2,1,,0,0,,0,0,,0,0
117,Bronzong,2d,ST,1,0,,2,1,,0,0,,0,0,,0,0
118,Probopass,2d,ST,4,2,,6,4,,0,0,,0,0,,0,0
119,Dialga ex,4d,ST,0,0,,0,0,,0,0,,0,0,,0,0
120,Heatran,3d,ST,0,0,,1,0,,0,0,,0,0,,0,0
121,Gible,1d,ST,1,0,,4,2,,0,0,,0,0,,0,0
122,Gabite,2d,ST,1,0,,4,2,,0,0,,0,0,,0,0
123,Garchomp,3d,ST,1,0,,1,0,,0,0,,0,0,,0,0
124,Lickitung,1d,ST,2,0,,1,0,,0,0,,0,0,,0,0
125,Lickilicky ex,4d,ST,0,0,,0,0,,0,0,,0,0,,0,0
126,Eevee,1d,ST,4,2,,3,1,,0,0,,0,0,,0,0
127,Porygon,1d,ST,1,0,,5,3,,0,0,,0,0,,0,0
128,Porygon2,2d,ST,1,0,,2,1,,0,0,,0,0,,0,0
129,Porygon-Z,3d,ST,0,0,,0,0,,0,0,,0,0,,0,0
130,Aipom,1d,ST,5,3,,5,3,,0,0,,0,0,,0,0
131,Ambipom,1d,ST,6,4,,4,2,,0,0,,0,0,,0,0
132,Starly,1d,ST,0,0,,5,3,,0,0,,0,0,,0,0
133,Staravia,1d,ST,2,0,,4,2,,0,0,,0,0,,0,0
134,Staraptor,2d,ST,3,1,,5,3,,0,0,,0,0,,0,0
135,Bidoof,1d,ST,0,0,,2,1,,0,0,,0,0,,0,0
136,Bibarel,1d,ST,4,2,,3,1,,0,0,,0,0,,0,0
137,Buneary,1d,ST,3,1,,2,1,,0,0,,0,0,,0,0
138,Lopunny,1d,ST,1,0,,1,0,,0,0,,0,0,,0,0
139,Glameow,1d,ST,3,1,,1,0,,0,0,,0,0,,0,0
140,Purugly,2d,ST,2,0,,1,0,,0,0,,0,0,,0,0
141,Chatot,1d,ST,0,0,,6,4,,0,0,,0,0,,0,0
142,Fan Rotom,1d,ST,5,3,,7,5,,0,0,,0,0,,0,0
143,Regigigas,3d,ST,2,0,,1,0,,0,0,,0,0,,0,0
144,Skull Fossil,1d,ST,3,1,,5,3,,0,0,,0,0,,0,0
145,Armor Fossil,1d,ST,4,2,,3,1,,0,0,,0,0,,0,0
146,Pokemon Communication,2d,ST,1,0,,0,0,,0,0,,0,0,,0,0
147,Giant Cape,2d,ST,0,0,,0,0,,0,0,,0,0,,0,0
148,Rocky Helmet,2d,ST,1,0,,0,0,,0,0,,0,0,,0,0
149,Lum Berry,2d,ST,0,0,,3,1,,0,0,,0,0,,0,0
150,Cyrus,2d,ST,1,0,,1,0,,0,0,,0,0,,0,0
151,Team Galactic Grunt,2d,ST,1,0,,3,1,,0,0,,0,0,,0,0
152,Cynthia,2d,ST,0,0,,3,1,,0,0,,0,0,,0,0
153,Volkner,2d,ST,2,0,,0,0,,0,0,,0,0,,0,0
154,Dawn,2d,ST,2,0,,1,0,,0,0,,0,0,,0,0
155,Mars,2d,ST,0,0,,2,1,,0,0,,0,0,,0,0
156,Tangrowth,1s,ST,0,0,,1,0,,0,0,,0,0,,0,0
157,Combee,1s,ST,0,0,,1,0,,0,0,,0,0,,0,0
158,Carnivine,1s,ST,1,0,,0,0,,0,0,,0,0,,0,0
159,Shaymin,1s,ST,0,0,,0,0,,0,0,,0,0,,0,0
160,Mamoswine,1s,ST,1,0,,0,0,,0,0,,0,0,,0,0
161,Gastrodon,1s,ST,0,0,,1,1,,0,0,,0,0,,0,0
162,Manaphy,1s,ST,0,0,,0,0,,0,0,,0,0,,0,0
163,Shinx,1s,ST,1,0,,0,0,,0,0,,0,0,,0,0
164,Rotom,1s,ST,0,0,,0,0,,0,0,,0,0,,0,0
165,Drifloon,1s,ST,0,0,,0,0,,0,0,,0,0,,0,0
166,Mesprit,1s,ST,1,0,,1,0,,0,0,,0,0,,0,0
167,Giratina,1s,ST,0,0,,1,0,,0,0,,0,0,,0,0
168,Cresselia,1s,ST,0,0,,2,1,,0,0,,0,0,,0,0
169,Rhyperior,1s,ST,0,0,,0,0,,0,0,,0,0,,0,0
170,Lucario,1s,ST,0,0,,1,0,,0,0,,0,0,,0,0
171,Hippopotas,1s,ST,0,0,,0,0,,0,0,,0,0,,0,0
172,Spiritomb,1s,ST,1,0,,0,0,,0,0,,0,0,,0,0
173,Croagunk,1s,ST,1,0,,0,0,,0,0,,0,0,,0,0
174,Heatran,1s,ST,1,0,,1,0,,0,0,,0,0,,0,0
175,Garchomp,1s,ST,0,0,,1,0,,0,0,,0,0,,0,0
176,Staraptor,1s,ST,0,0,,0,0,,0,0,,0,0,,0,0
177,Bidoof,1s,ST,0,0,,1,0,,0,0,,0,0,,0,0
178,Glameow,1s,ST,0,0,,0,0,,0,0,,0,0,,0,0
179,Regigigas,1s,ST,1,0,,0,0,,0,0,,0,0,,0,0
180,Yanmega ex,2s,ST,0,0,,0,0,,0,0,,0,0,,0,0
181,Infernape ex,2s,ST,0,0,,0,0,,0,0,,0,0,,0,0
182,Palkia ex,2s,ST,0,0,,1,0,,0,0,,0,0,,0,0
183,Pachirisu ex,2s,ST,0,0,,0,0,,0,0,,0,0,,0,0
184,Mismagius ex,2s,ST,0,0,,0,0,,0,0,,0,0,,0,0
185,Gallade ex,2s,ST,0,0,,0,0,,0,0,,0,0,,0,0
186,Weavile ex,2s,ST,0,0,,0,0,,0,0,,0,0,,0,0
187,Darkrai ex,2s,ST,0,0,,0,0,,0,0,,0,0,,0,0
188,Dialga ex,2s,ST,0,0,,0,0,,0,0,,0,0,,0,0
189,Lickilicky ex,2s,ST,0,0,,0,0,,0,0,,0,0,,0,0
190,Cyrus,2s,ST,0,0,,0,0,,0,0,,0,0,,0,0
191,Team Galactic Grunt,2s,ST,0,0,,0,0,,0,0,,0,0,,0,0
192,Cynthia,2s,ST,1,0,,0,0,,0,0,,0,0,,0,0
193,Volkner,2s,ST,0,0,,1,0,,0,0,,0,0,,0,0
194,Dawn,2s,ST,0,0,,0,0,,0,0,,0,0,,0,0
195,Mars,2s,ST,0,0,,0,0,,0,0,,0,0,,0,0
196,Yanmega ex,2s,ST,0,0,,0,0,,0,0,,0,0,,0,0
197,Infernape ex,2s,ST,0,0,,0,0,,0,0,,0,0,,0,0
198,Pachirisu ex,2s,ST,0,0,,0,0,,0,0,,0,0,,0,0
199,Mismagius ex,2s,ST,0,0,,0,0,,0,0,,0,0,,0,0
200,Gallade ex,2s,ST,0,0,,1,0,,0,0,,0,0,,0,0
201,Weavile ex,2s,ST,0,0,,0,0,,0,0,,0,0,,0,0
202,Darkrai ex,2s,ST,0,0,,0,0,,0,0,,0,0,,0,0
203,Lickilicky ex,2s,ST,0,0,,0,0,,0,0,,0,0,,0,0
204,Palkia ex,3s,ST,0,0,,2,1,,0,0,,0,0,,0,0
205,Dialga ex,3s,ST,2,0,,1,0,,0,0,,0,0,,0,0
206,Palkia ex,1c,ST,0,0,,0,0,,0,0,,0,0,,0,0
207,Dialga ex,1c,ST,0,0,,0,0,,0,0,,0,0,,0,0